event_id,end_to_end,processing_time,latency,consensus_latency
6b7ee074-4a0f-4896-adea-e57ba5c978a7,2.176531,0.012694,2.163837,0.017275
e290b68e-2302-438f-b30c-533b64aa38df,1.787567,0.028683,1.758884,0.015645
69caa3be-e97f-4b0c-92ac-0221d21e1a6a,2.108865,0.015269,2.093596,0.021983
514b4237-38a7-41c9-b0aa-91d184204175,1.668696,0.011167,1.657529,0.052176
76287e4c-7ff7-4b0c-9b4a-e7c31694dcca,1.640264,0.027397,1.612867,0.042394
41ee5df8-fb15-497a-906b-1af8d5b6bb62,1.285641,0.010908,1.274733,0.052981
5cfd9ba7-0378-4ef3-b2d2-3756eecabeb7,1.680152,0.029553,1.650599,0.022249
b54d6211-7181-4bc5-bb5e-1eebad998ff9,1.183738,0.011629,1.172109,0.010798
f1aeb789-2e70-4bf9-b543-a75ceaa13abc,1.760321,0.022427,1.737894,0.04638
6fb02255-20b2-4bd2-b5b1-f62322b12252,1.096019,0.041547,1.054472,0.059083
07ef6774-60c5-4c30-bb77-d823fe3762a5,1.439505,0.012317,1.427188,0.040654
780548a3-5648-4562-bc49-7f87a238b4ca,1.205753,0.028948,1.176805,0.014467
f6fdc0c6-dfc2-43a1-a9e4-b1827d9d5d40,2.353864,0.015284,2.33858,0.045673
5ef248e4-88a3-427f-9b82-44b5326e73ac,2.043165,0.015582,2.027583,0.02342
bda45564-48f0-403a-9e01-aeeaee31028d,2.42961,0.027337,2.402273,0.049202
92de5737-4b52-458e-b567-7d04558f00dc,1.810159,0.011732,1.798427,0.016528
0950da9a-41fb-4a25-9de9-b4e5e91dc9e5,2.222096,0.009998,2.212098,0.0457
0934d7f6-48fe-4497-a54b-613f6d0c2f05,2.515734,0.029444,2.48629,0.033912
c47f37c1-8458-4cc2-b6d0-0be057aac009,1.841738,0.010085,1.831653,0.008243
87549f3c-0385-49d5-939e-676dda47c04a,1.515462,0.010663,1.504799,0.00442
12971b65-9365-4657-8f2f-351c791b6a1f,2.084406,0.022668,2.061738,0.03506
351137c2-fc15-47ac-baaa-fed667dfb387,2.406664,0.01167,2.394994,0.027337
fdb088c7-7d70-4746-a0de-f877e64bb086,2.087254,0.012408,2.074846,0.055309
adee16df-675a-4778-afc8-a712e12deb54,1.845816,0.033081,1.812735,0.015971
657939a6-d0b8-449c-9bef-4e988ed89ef3,2.53448,0.014182,2.520298,0.038099
f168c1fb-11da-4e11-b02f-a83bb2e16799,1.763752,0.014532,1.74922,0.056788
87e79a84-f476-4a8e-b9f4-1351dcd9ecf7,2.046696,0.027261,2.019435,0.039045
6d148d93-77d5-4058-bfc6-268671a0b3b0,1.68323,0.012028,1.671202,0.022094
a5ed3d97-faed-42c7-b2bc-c4353ad8bd27,1.297475,0.009084,1.288391,0.045812
f0a1e11b-a838-42f2-9f92-afcfaa4e1885,1.77538,0.012173,1.763207,0.028214
698141c6-4d62-4021-accd-7517cbe48470,2.042469,0.022024,2.020445,0.0572
329c4600-dcc9-4f05-a739-6faeda75d39b,1.504573,0.008249,1.496324,0.050155
4f6ba155-e75a-44a3-995e-58e3573eb8f3,1.156588,0.011329,1.145259,0.012476
6d9d0134-1228-47fb-99ea-a4468d9fb263,1.491098,0.028857,1.462241,0.041053
853d822e-c8c6-4333-bad6-00ab065e595a,1.72637,0.016236,1.710134,0.009501
d820edcf-488b-43a0-8694-12df20dce772,1.462888,0.011982,1.450906,0.056641
ea0198b7-fffe-4e3a-98d5-6efa19a0d4d2,1.172085,0.024178,1.147907,0.0377
90fdfd46-1aa6-41fa-b1c3-0ec739fe0871,1.822126,0.016323,1.805803,0.008663
a3fb2590-adac-4fa2-b0cc-c1f37f1d926e,1.4633,0.012277,1.451023,0.003699
6e8c7093-b6b1-4540-b32a-2f0dca03fda4,1.903867,0.025898,1.877969,0.023792
9d5203b9-fe32-4735-9927-c25d062efc47,1.413832,0.011009,1.402823,0.061229
5d4f47b9-198d-41b0-a2e5-1d474211f0be,1.673317,0.015125,1.658192,0.00202
ed3ba5fb-2842-4a7f-952a-ea02b25335ea,1.530118,0.01165,1.518468,0.048306
4c4fd26b-b76e-4f8c-b6b8-ce4cd27de858,2.591847,0.012045,2.579802,0.029885
2b0e105d-84c1-446c-9912-78741a03b0fb,2.328634,0.031169,2.297465,0.03151
2376f393-9da2-4574-8549-1642d78c0b97,1.925302,0.0139,1.911402,0.031956
c362903a-163d-4a76-baf3-2a2e6fb67af1,2.510675,0.011007,2.499668,0.014167
9d7f96af-900e-46b2-ab9e-4dc8dea8879f,1.843124,0.027563,1.815561,0.034856
4b225061-a083-43ae-9670-ff165c9243ea,2.445278,0.016812,2.428466,0.019353
958f2436-723b-4719-80ea-3103369a01da,1.976171,0.010347,1.965824,0.059968
e4cab6cb-c588-4ac4-9612-7703153ea41f,1.687921,0.026619,1.661302,0.040792
bc5f7cd6-f3db-4c3c-b703-b7cd6820eab7,1.318222,0.011999,1.306223,0.031248
e5c97ea0-4e9d-4760-b7dd-c6df78739030,1.867398,0.010806,1.856592,0.004279
203cab3f-04ad-480c-b936-0aef31ea9680,1.647591,0.037446,1.610145,0.045562
4460c1db-8a95-442b-813b-3aa7ebc449ea,1.9385,0.014107,1.924393,0.027547
56fff6f3-e29d-4b9c-93b1-2c8070210075,2.217503,0.011257,2.206246,0.012765
051e9ba7-8f3e-4f29-b9f1-89dad35bd839,1.901474,0.022114,1.87936,0.030629
cfe5b13f-24cb-429a-b186-96402018a11e,1.894293,0.012785,1.881508,0.027327
a61329da-d9ff-4366-87c6-7ebfae987856,1.536043,0.03177,1.504273,0.052367
7e947cce-a65e-441f-9da7-48f684650e9b,2.100374,0.015499,2.084875,0.057557
ac92aa89-6459-4cbf-99f1-f30e59bbc281,1.67282,0.01149,1.66133,0.058919
94e26c84-f6bf-4d95-8b29-a1f218479788,2.240458,0.025295,2.215163,0.026601
219b79e5-03e6-4bf7-9f63-b2a6ad975636,2.010435,0.016843,1.993592,0.037175
6b2cee1a-a84b-4302-be69-78ad27dde030,1.155612,0.013772,1.14184,0.053576
d5b6be4f-f9da-46dd-9ab8-8e3fc2d2bbc1,1.832032,0.033178,1.798854,0.062821
c2f15cfc-a07e-46cb-914a-6d5d27b9b4f4,1.482478,0.015712,1.466766,0.055688
192ffaa8-8be9-4228-a8bd-87104f87b221,1.0934,0.010883,1.082517,0.014858
d15e93de-3d3c-4223-94fe-113964bfb792,1.376504,0.017277,1.359227,0.019395
726f4384-9332-4abe-a6a9-5b6be3e779d2,2.090513,0.011432,2.079081,0.022031
0969203a-bf2b-4069-91af-1b546a639cbf,1.619954,0.027121,1.592833,0.060275
96bad7da-8bc6-4575-8ab3-0fa73efaf5b3,1.893667,0.011946,1.881721,0.02073
b15aa1e8-7aff-42c7-8369-5a5afbe8de96,2.233681,0.013641,2.22004,0.004323
550098f8-b248-48b5-a44d-9453714f6e55,1.804285,0.026228,1.778057,0.022416
b226f0dc-3310-4fd9-b83f-ed97b6c685ca,2.145557,0.015064,2.130493,0.050678
44e26213-2f60-42a0-9c1f-097ec26a166a,1.590991,0.011488,1.579503,0.027656
ba57663c-54dd-43b2-abd5-c996cdd9b5d1,2.317404,0.025438,2.291966,0.033117
23737eb2-f0a3-4e17-b658-97ffe16e11c8,1.653882,0.015138,1.638744,0.016156
864736e7-2b80-4622-880d-3f11bfc4d297,2.211975,0.0133,2.198675,0.057534
ef2a31a4-26f6-4908-8b29-fa65c96d7c78,1.945226,0.027959,1.917267,0.05804
78119523-3d16-45a5-b18b-c7149a38465c,2.298977,0.010647,2.28833,0.022433
2aee7615-394e-4f02-a38b-edb358cfbedb,1.717576,0.018664,1.698912,0.02048
1d9fda1d-d886-4151-be45-d79bc6fafaa8,2.04554,0.01144,2.0341,0.056942
27fad22d-9df7-4767-bf43-b92ae56676cc,1.486662,0.024252,1.46241,0.068641
47a828c4-9820-4d76-9067-58c746e3f1cf,2.69306,0.015631,2.677429,0.035283
99059fbd-36cc-4d5c-8f79-5e997c98f379,1.874071,0.012269,1.861802,0.027511
97f714f0-870d-4b1b-a30a-6ca0522a5f08,1.412184,0.023048,1.389136,0.018791
a2c03a11-ae25-463c-b3e8-ca4e6ced4102,2.108428,0.014368,2.09406,0.010911
941d604e-60ac-40ce-ac18-7246568897f1,1.62624,0.012248,1.613992,0.016522
ebf74b44-5e11-42a9-bfcf-f17456728bda,1.938491,0.029815,1.908676,0.025508
9a4f3816-39b5-4400-b9a2-8fec8dae4700,1.467712,0.010994,1.456718,0.044172
ba6987d2-7756-493c-a2ad-392841d8392e,2.124186,0.024318,2.099868,0.042592
6db11556-5b40-4cdc-a739-5527b0f2794f,1.609653,0.011258,1.598395,0.053234
23f22d64-572a-4f06-954c-0efa00e2621d,1.639809,0.011477,1.628332,0.059842
bac4429d-f73e-4727-afb2-b011f14299c1,2.146852,0.031581,2.115271,0.017502
f87c81a9-4fa3-40ac-bba6-d3ca71a9f13b,1.880704,0.009553,1.871151,0.04025
758fee74-534e-455e-8735-1d3b46cfe094,2.106991,0.011512,2.095479,0.008343
e06ca4bc-dafc-46f9-be74-2119acef493e,1.63726,0.028606,1.608654,0.046702
